taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1042720	Endomychus biguttatus Say, 1824	1042720	Endomychus biguttatus Say, 1824	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Endomychidae	7828	Endomychus	1042719	Endomychus biguttatus	1042720	NE
1239041	Hylesinus aculeatus Say & T., 1824	1239041	Hylesinus aculeatus Say & T., 1824	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Hylesinus	1239036	Hylesinus aculeatus	1239041	NE
1510526	Pedicia procteriana Alexander, 1939	1510526	Pedicia procteriana Alexander, 1939	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Pediciidae	3315	Pedicia	1510522	Pedicia procteriana	1510526	NE
1585094	Rhamphomyia albidipennis Malloch, 1930	1585094	Rhamphomyia albidipennis Malloch, 1930	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Empididae	9483	Rhamphomyia	9171806	Rhamphomyia albidipennis	1585094	NE
1777976	Papaipema impecuniosa Grote, 1881	1777976	Papaipema impecuniosa Grote, 1881	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Papaipema	1777971	Papaipema impecuniosa	1777976	NE
1881166	Nomophila nearctica Munroe, 1973	1881166	Nomophila nearctica Munroe, 1973	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Nomophila	1881145	Nomophila nearctica	1881166	NE
2003763	Sweltsa onkos (Ricker, 1936)	2003763	Sweltsa onkos (Ricker, 1936)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Plecoptera	787	Chloroperlidae	9387	Sweltsa	2003697	Sweltsa onkos	2003763	NE
2255415	Gordius robustus Leidy, 1851	2255415	Gordius robustus Leidy, 1851	1	SPECIES	ACCEPTED	Animalia	1	Nematomorpha	64	Gordioida	7188530	Gordioidea	853	Gordiidae	6462	Gordius	9660818	Gordius robustus	2255415	NE
2295636	Euchemotrema fraternum (Say, 1824)	2295636	Euchemotrema fraternum (Say, 1824)	4	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Polygyridae	2624	Euchemotrema	2295633	Euchemotrema fraternum	2295636	NE
2564373	Cordyceps valliformis Mains	8071435	Tolypocladium valliforme (Mains) C.A.Quandt, Kepler & Spatafora	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Sordariomycetes	320	Hypocreales	1290	Ophiocordycipitaceae	8421	Tolypocladium	2561405	Tolypocladium valliforme	8071435	NE
2569865	Lecidea Ach., 1803	2569865	Lecidea Ach., 1803	6	GENUS	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecideales	10848190	Lecideaceae	8296	Lecidea	2569865			
2703131	Deschampsia P.Beauv.	2703131	Deschampsia P.Beauv.	3	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Deschampsia	2703131			NE
2704858	Calamagrostis Adans.	2704858	Calamagrostis Adans.	8	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Calamagrostis	2704858			NE
2722527	Carex folliculata L.	2722527	Carex folliculata L.	20	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex folliculata	2722527	LC
2723497	Carex sychnocephala J.Carey	2723497	Carex sychnocephala J.Carey	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex sychnocephala	2723497	NE
2728717	Carex houghtoniana Torr. ex Dewey	2728717	Carex houghtoniana Torr. ex Dewey	17	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex houghtoniana	2728717	NE
2926665	Trichostema dichotomum L.	2926665	Trichostema dichotomum L.	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Trichostema	2926651	Trichostema dichotomum	2926665	NE
3014900	Crataegus fluviatilis Sarg.	3014896	Crataegus macrosperma Ashe	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Crataegus	3013395	Crataegus macrosperma	3014896	NE
3034845	Sanicula marilandica L.	3034845	Sanicula marilandica L.	65	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Sanicula	3034831	Sanicula marilandica	3034845	NE
3169340	Lysimachia punctata L.	3169340	Lysimachia punctata L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Primulaceae	6674	Lysimachia	3169330	Lysimachia punctata	3169340	LC
3171218	Agalinis paupercula (Gray) Britton	6438626	Agalinis purpurea var. parviflora (Benth.) Boivin	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Orobanchaceae	6651	Agalinis	3171192	Agalinis purpurea	3171284	NE
4276912	Lophocolea heterophylla (Schrad.) Dumort.	4276912	Lophocolea heterophylla (Schrad.) Dumort.	25	SPECIES	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Jungermanniales	381	Lophocoleaceae	6134	Lophocolea	4276909	Lophocolea heterophylla	4276912	NE
4636119	Olenellus thompsoni	4636119	Olenellus thompsoni	26	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Redlichiida	9590575	Olenellidae	4636103	Olenellus	8591133	Olenellus thompsoni	4636119	NE
4988314	Bradycellus neglectus (LeConte, 1847)	4988314	Bradycellus neglectus (LeConte, 1847)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Bradycellus	1035409	Bradycellus neglectus	4988314	NE
5040983	Ammophila nigricans Dahlbom, 1843	5040983	Ammophila nigricans Dahlbom, 1843	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Sphecidae	4352	Ammophila	1346141	Ammophila nigricans	5040983	NE
5147899	Euchlaena irraria Barnes & McDunnough, 1916	5147899	Euchlaena irraria Barnes & McDunnough, 1916	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Euchlaena	1977351	Euchlaena irraria	5147899	NE
5173257	Phidippus audax (Hentz, 1845)	5173257	Phidippus audax (Hentz, 1845)	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644	Phidippus	2176168	Phidippus audax	5173257	NE
5281708	Grimmia trichophylla Greville, 1824	5281708	Grimmia trichophylla Greville, 1824	1	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Grimmiales	1337	Grimmiaceae	8747	Grimmia	2673623	Grimmia trichophylla	5281708	NE
5331216	Viola chalcosperma Brainerd	5331238	Viola sororia Willd.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Violaceae	6631	Viola	2874237	Viola sororia	5331238	NE
5370398	Dasiphora fruticosa subsp. floribunda (Pursh) Kartesz	5370380	Dasiphora fruticosa (L.) Rydb.	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Dasiphora	3029309	Dasiphora fruticosa	5370380	
5425828	Reticularia lycoperdon Bull., 1790	5425828	Reticularia lycoperdon Bull., 1790	5	SPECIES	ACCEPTED	Protozoa	7	Mycetozoa	33	Myxomycetes	319	Cribrariales	11155564	Tubiferaceae	3213352	Reticularia	8815567	Reticularia lycoperdon	5425828	NE
5702075	Antennaria parlinii subsp. fallax (Greene) R.J.Bayer & Stebbins	5702075	Antennaria parlinii subsp. fallax (Greene) R.J.Bayer & Stebbins	80	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Antennaria	3087998	Antennaria parlinii	5385635	
5928049	Dryopteris filix-mas subsp. brittonii Fraser-Jenk. & Widén	5928049	Dryopteris filix-mas subsp. brittonii Fraser-Jenk. & Widén	5	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dryopteridaceae	2373	Dryopteris	2651126	Dryopteris filix-mas	5275132	
6385637	Lycopodium selago L.	7286567	Huperzia selago subsp. selago	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Lycopodiopsida	245	Lycopodiales	421	Lycopodiaceae	6725	Huperzia	2688450	Huperzia selago	8190643	NE
6390957	Persicaria punctata (Elliott) Small	6390957	Persicaria punctata (Elliott) Small	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Persicaria	6390748	Persicaria punctata	6390957	LC
7188258	Helisoma anceps anceps	5189722	Helisoma anceps (Menke, 1830)	1	SUBSPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Planorbidae	2851	Helisoma	5189721	Helisoma anceps	5189722	
7240522	Boletus gracilis Peck	7240561	Austroboletus gracilis (Peck) Wolfe	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Boletaceae	8789	Austroboletus	2519222	Austroboletus gracilis	7240561	NE
7319790	Dryopteris goldieana (Hook.) Gray	7319790	Dryopteris goldieana (Hook.) Gray	30	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dryopteridaceae	2373	Dryopteris	2651126	Dryopteris goldieana	7319790	NE
7532935	Suillus spectabilis (Peck) Kuntze	6124419	Boletinus spectabilis (Peck) Murrill	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Boletales	1063	Suillaceae	8455	Boletinus	7240402	Boletinus spectabilis	6124419	NE
7703375	Deschampsia cespitosa var. glauca (Hartman) Hartman	7226886	Deschampsia cespitosa subsp. cespitosa	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Deschampsia	2703131	Deschampsia cespitosa	8059811	
8043344	Rosa humilis Kit.	8043344	Rosa humilis Kit.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rosa	8395064	Rosa humilis	8043344	NE
8171210	Polymnia Kalm	8171210	Polymnia Kalm	2	GENUS	DOUBTFUL	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Polymnia	8171210			
8295988	Pyrus sitchensis (M.Roem.) Piper	3012319	Sorbus sitchensis M.Roem.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Sorbus	3012146	Sorbus sitchensis	3012319	NE
8521280	Cerastium longipedunculatum Muhl.	3085482	Cerastium nutans Raf.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Cerastium	2873815	Cerastium nutans	3085482	NE
8910550	Poria xantha (Fr.) Cooke	9159614	Antrodia xantha (Fr.) Ryvarden	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Polyporales	1145	Fomitopsidaceae	7619	Antrodia	2519217	Antrodia xantha	9159614	NE
