taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3408377	Cetraria arenaria Kärnef.	3408377	Cetraria arenaria Kärnef.	3	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Parmeliaceae	8305	Cetraria	2601309	Cetraria arenaria	3408377	NE
4988986	Chlaenius tricolor Dejean, 1826	4988986	Chlaenius tricolor Dejean, 1826	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Chlaenius	4988973	Chlaenius tricolor	4988986	NE
5155928	Phylloxera caryae-globuli Walsh, 1863	5155928	Phylloxera caryae-globuli Walsh, 1863	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Phylloxeridae	7256	Phylloxera	2049382	Phylloxera caryae-globuli	5155928	NE
5275091	Dryopteris marginalis (L.) Gray	5275091	Dryopteris marginalis (L.) Gray	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dryopteridaceae	2373	Dryopteris	2651126	Dryopteris marginalis	5275091	NE
5341177	Myosotis discolor Pers.	5341177	Myosotis discolor Pers.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Boraginaceae	2498	Myosotis	2925668	Myosotis discolor	5341177	NE
5361775	Myriophyllum tenellum Bigelow	5361775	Myriophyllum tenellum Bigelow	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Haloragaceae	6694	Myriophyllum	2984253	Myriophyllum tenellum	5361775	LC
6155878	Porania pulvillus insignis Verrill, 1895	6155878	Porania pulvillus insignis Verrill, 1895	2	SUBSPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Asteroidea	214	Valvatida	810	Poraniidae	2068	Porania	2273079	Porania pulvillus	2273118	
1786360	Trichoplusia ni (Hübner, 1803)	1786360	Trichoplusia ni (Hübner, 1803)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Trichoplusia	1786329	Trichoplusia ni	1786360	NE
2288678	Periploma papyratium (Say, 1822)	2288678	Periploma papyratium (Say, 1822)	4	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137			Periplomatidae	6865	Periploma	2288668	Periploma papyratium	2288678	NE
2481770	Calidris bairdii (Coues, 1861)	2481770	Calidris bairdii (Coues, 1861)	38	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris bairdii	2481770	LC
