taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5714973	Xestia c-nigrum (Linnaeus, 1758)	5714973	Xestia c-nigrum (Linnaeus, 1758)	35	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Xestia	1783394	Xestia c-nigrum	5714973	NE
6290429	Sonchus arvensis subsp. uliginosus (M.Bieb.) Nyman	6290429	Sonchus arvensis subsp. uliginosus (M.Bieb.) Nyman	13	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Sonchus	3105646	Sonchus arvensis	3105813	
6369289	Fragaria vesca subsp. americana (Porter) Staudt	6369289	Fragaria vesca subsp. americana (Porter) Staudt	42	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Fragaria	3029779	Fragaria vesca	3029817	
6424238	Dryopteris thelypteris (L.) A.Gray	7822030	Thelypteris palustris subsp. palustris	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Thelypteridaceae	6618	Thelypteris	5937466	Thelypteris palustris	5275316	LC
6449142	Glyceria grandis f. grandis	2705491	Glyceria grandis S.Watson	32	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Glyceria	2705475	Glyceria grandis	2705491	
7459211	Ptychostomum pseudotriquetrum (Hedw.) J.R.Spence & H.P.Ramsay ex Holyoak & N.Pedersen	2676867	Bryum pseudotriquetrum P.G.Gärtner, B.Meyer & Scherbius, 1802	7	SPECIES	SYNONYM	Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Bryaceae	8736	Bryum	2676502	Bryum pseudotriquetrum	2676867	NE
7508622	Aster divaricatus (Nutt.) Torr. & A.Gray	4236610	Symphyotrichum subulatum var. ligulatum S.D.Sundb.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Symphyotrichum	3151391	Symphyotrichum subulatum	3094253	NE
7532634	Salix bebbiana var. bebbiana	5373055	Salix bebbiana Sarg.	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Salicaceae	6664	Salix	3039576	Salix bebbiana	5373055	
7715078	Ellychnia Dejean, 1833	7715078	Ellychnia Dejean, 1833	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lampyridae	4737	Ellychnia	7715078			NE
8011540	Potentilla argentea L.	8011540	Potentilla argentea L.	97	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058	Potentilla argentea	8011540	NE
8188970	Ceratodon purpureus C.Müller, 1885	8188970	Ceratodon purpureus C.Müller, 1885	12	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Ditrichaceae	8743	Ceratodon	2673445	Ceratodon purpureus	8188970	NE
8411933	Apanteles Förster, 1863	8411933	Apanteles Förster, 1863	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Apanteles	8411933			
8490231	Nileoides perkinsi (Raymond, 1910)	8490231	Nileoides perkinsi (Raymond, 1910)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Asaphida	9573072	Asaphidae	3267117	Nileoides	4635708	Nileoides perkinsi	8490231	NE
8956209	Xylaria polymorpha (Pers.) Grev.	8956209	Xylaria polymorpha (Pers.) Grev.	26	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Sordariomycetes	320	Xylariales	1298	Xylariaceae	4168	Xylaria	2568748	Xylaria polymorpha	8956209	NE
