scientificName,vernacularName,VT_SGCN,Regional_SGCN
Sorex fumeus,Smoky Shrew,Medium ,
Condylura cristata,Star-nosed Mole,Assessment Needed,
Parascalops breweri,Hairy-tailed Mole,Assessment Needed,
Sorex hoyi,Eastern Pygmy Shrew,Assessment Needed,
Martes americana,American Marten,High ,Regional SGCN-Watchlist
Pekania pennanti,Fisher,Medium ,
Mustela richardsonii,Ermine/Short-tailed weasel,Assessment Needed,
Neogale frenata,Long-tailed Weasel,Assessment Needed,
Lepus americanus,Snowshoe Hare,High ,Regional SGCN-Watchlist
Sylvilagus transitionalis,New England Cottontail,Watchlist,Regional SGCN
Microtus chrotorrhinus,Rock Vole,High ,Regional SGCN
Microtus pinetorum,Woodland Vole,High ,
Glaucomys sabrinus,Northern Flying Squirrel,Medium ,Regional SGCN-Proposed Watchlist
Glaucomys volans,Southern Flying Squirrel,Medium ,
Ondatra zibethicus,Common Muskrat,Medium ,
Synaptomys cooperi,Southern Bog Lemming,Medium ,Regional SGCN-Watchlist
Mictomys borealis,Northern Bog Lemming,Assessment Needed,Regional SGCN
Alces alces,Moose,Medium ,Regional SGCN-Watchlist
Amanita praecox,,Watchlist,
Amanita ristichii,Ristich's Caesar,Watchlist,
Boletinellus merulioides,Ash-tree bolete,Watchlist,
Caloboletus peckii,,Watchlist,
Clavulinopsis appalachiensis,Appalachian Spindle Coral,Watchlist,
Cortinarius azureus,Variable Webcap,Watchlist,
Cortinarius ophiopus,,Watchlist,
Craterellus cinereus,Ashen chanterelle,Watchlist,
Dendrocollybia racemosa,Branched shanklet,Watchlist,
Entoloma flavoviride,Yellowish-Green Entoloma,Watchlist,
Ganoderma tsugae,Hemlock varnish shelf,Watchlist,
Helvella palustris,,Watchlist,
Hodophilus peckianus,Peck's False Waxy Cap,Watchlist,
Hygrophorus discoxanthus,Yellowing woodwax,Watchlist,
Hypocreopsis rhododendri,Hazel glove,Watchlist,
Lactarius cinereus,,Watchlist,
Lactarius subpurpureus,,Watchlist,
Lactarius trivialis,Tacked milk cap,Watchlist,
Lactifluus gerardii,,Watchlist,
Perenniporia fraxinophila,,Watchlist,
Psathyrella epimyces,Parasitic Psathyrella,Watchlist,
Pseudofistulina radicata,Rooting Tube-Pore Polypore,Watchlist,
Rhizopogon kretzerae,,Watchlist,
Squamanita imbachii,,Watchlist,
Squamanita sumstinei,,Watchlist,
Squamanita umbonata,,Watchlist,
Stropharia aeruginosa,,Watchlist,
Suillus brevipes,Short-stalked suillus,Watchlist,
Suillus salmonicolor,Slippery Jill,Watchlist,
Suillus tomentosus,Blue-staining slippery Jack,Watchlist,
Tricholoma grave,Heavy Trich,Watchlist,
Tricholoma magnivelare,American matsutake,Watchlist,
Underwoodia columnaris,Pale tongue fungus,Watchlist,
Volvariella surrecta,Piggyback rosegill,Watchlist,
Anthoceros agrestis,Field Hornwort,Medium ,
Anthoceros macounii,Macoun's Anthoceros,Medium ,
Notothylas orbicularis,A Hornwort,Medium ,
Anastrophyllum michauxii,A Liverwort,Medium ,
Aneura sharpii,A Liverwort,Medium ,
Apopellia endiviifolia,Endive Pellia,Medium ,
Apopellia megaspora,A Liverwort,Medium ,
Barbilophozia hatcheri,A Liverwort,Medium ,
Barbilophozia lycopodioides,Greater Pawwort,Medium ,
Barbilophozia sudetica,A Liverwort,Medium ,
Calypogeia azurea,Blue Pouchwort,Medium ,
Calypogeia suecica,A Liverwort,Medium ,
Cephalozia ambigua,Snow Pincerwort,Medium ,
Cephaloziella elachista,A Liverwort,Medium ,
Cephaloziella elegans,A Liverwort,Medium ,
Cephaloziella massalongoi,A Liverwort,Medium ,
Cephaloziella rubella,A Liverwort,Medium ,
Cephaloziella stellulifera,A Liverwort,Medium ,
Cephaloziella varians,Arctic Threadwort,Medium ,
Chiloscyphus pallescens var. fragilis,A Liverwort,Medium ,
Chiloscyphus pallescens var. pallescens,A Liverwort,Medium ,
Chiloscyphus polyanthos var. polyanthos,A Liverwort,Medium ,
Chiloscyphus polyanthos var. rivularis,A Liverwort,Medium ,
Clevea hyalina,A Liverwort,Medium ,
Crossocalyx hellerianus,A Liverwort,Medium ,
Diplophyllum obtusatum,Blunted Earwort,Medium ,
Endogemma caespiticia,A Liverwort,Medium ,
Fossombronia foveolata,A Liverwort,Medium ,
Fossombronia wondraczekii,A Liverwort,Medium ,
Frullania austinii,Austin's Frullania,Medium ,
Frullania brittoniae,A Liverwort,Medium ,
Frullania inflata,A Liverwort,Medium ,
Frullania oakesiana,A Liverwort,Medium ,
Frullania plana,A Liverwort,Medium ,
Frullania riparia,A Liverwort,Medium ,
Frullania selwyniana,A Liverwort,Medium ,
Fuscocephaloziopsis catenulata,A Liverwort,Medium ,
Fuscocephaloziopsis connivens,A Liverwort,Medium ,
Fuscocephaloziopsis leucantha,A Liverwort,Medium ,
Fuscocephaloziopsis macrostachya,A Liverwort,Medium ,
Fuscocephaloziopsis pleniceps var. pleniceps,Blunt Pincerwort,Medium ,
Gymnocolea inflata ssp. acutiloba,Welsh Notchwort,Medium ,
Gymnocolea inflata ssp. inflata,A Liverwort,Medium ,
Gymnomitrion concinnatum,A Liverwort,Medium ,
Harpanthus drummondii,A Liverwort,Medium ,
Harpanthus scutatus,A Liverwort,Medium ,
Heterogemma capitata,A Liverwort,Medium ,
Heterogemma laxa,A Liverwort,Medium ,
Jubula hutchinsiae ssp. pennsylvanica,A Liverwort,Medium ,
Jungermannia eucordifolia,A Liverwort,Medium ,
Kurzia pauciflora,A Liverwort,Medium ,
Lejeunea lamacerina ssp. gemminata,A Liverwort,Medium ,
Lophocolea bidentata,A Liverwort,Medium ,
Lophocolea coadunata,A Crestwort,Medium ,
Lophocolea minor,Lesser Crestwort,Medium ,
Lophozia ascendens,A Liverwort,Medium ,
Lophozia guttulata,Droplet Flapwort,Medium ,
Lophozia silvicola,Forest Notchwort,Medium ,
Lophozia wenzelii var. wenzelii,A Liverwort,Medium ,
Lophoziopsis excisa,Cut Notchwort,Medium ,
Lunularia cruciata,A Liverwort,Medium ,
Mannia fragrans,A Liverwort,Medium ,
Mannia pilosa,A Liverwort,Medium ,
Mannia sibirica,Sibirian Macewort,Medium ,
Mannia triandra,A Liverwort,Medium ,
Marchantia polymorpha ssp. montivagans,A Liverwort,Medium ,
Marchantia polymorpha ssp. polymorpha,A Liverwort,Medium ,
Marsupella sphacelata,A Liverwort,Medium ,
Mesoptychia badensis,Dwarf Notchwort,Medium ,
Mesoptychia collaris,Collared Notchwort,Medium ,
Mesoptychia heterocolpos var. heterocolpos,A Liverwort,Medium ,
Mesoptychia rutheana,Fen Notchwort,Medium ,
Metzgeria crassipilis,A Liverwort,Medium ,
Metzgeria pubescens,A Liverwort,Medium ,
Moerckia flotoviana,Flotow's Ruffwort,Medium ,
Mylia taylorii,A Liverwort,Medium ,
Nardia scalaris ssp. scalaris,A Liverwort,Medium ,
Neoorthocaulis floerkei,A Liverwort,Medium ,
Odontoschisma sphagni,A Liverwort,Medium ,
Plagiochila austinii,A Liverwort,Medium ,
Porella pinnata,Pinnate Scalewort,Medium ,
Radula obconica,A Liverwort,Medium ,
Radula tenax,A Liverwort,Medium ,
Riccia bifurca,A Liverwort,Medium ,
Riccia cavernosa,Cavernous Crystalwort,Medium ,
Riccia frostii,A Liverwort,Medium ,
Riccia huebeneriana ssp. sullivantii,A Liverwort,Medium ,
Scapania carinthiaca,Carinthian Earwort,Medium ,
Scapania curta var. curta,A Liverwort,Medium ,
Scapania cuspiduligera var. cuspiduligera,A Liverwort,Medium ,
Scapania glaucocephala,A Liverwort,Medium ,
Scapania gymnostomophila,A Liverwort,Medium ,
Scapania irrigua ssp. irrigua,A Liverwort,Medium ,
Scapania lingulata,A Liverwort,Medium ,
Scapania mucronata,A Liverwort,Medium ,
Scapania paludicola var. paludicola,A Liverwort,Medium ,
Scapania paludosa,A Liverwort,Medium ,
Scapania umbrosa,A Liverwort,Medium ,
Schistochilopsis grandiretis,Purple-lobed Notchwort,Medium ,
Schljakovia kunzeana,A Liverwort,Medium ,
Solenostoma hyalinum,A Liverwort,Medium ,
Solenostoma obovatum,A Liverwort,Medium ,
Solenostoma obscurum,A Liverwort,Medium ,
Solenostoma sphaerocarpum,A Liverwort,Medium ,
Sphenolobus saxicola,A Liverwort,Medium ,
Tetralophozia setiformis,A Liverwort,Medium ,
Tritomaria exsectiformis ssp. exsectiformis,A Liverwort,Medium ,
Tritomaria quinquedentata var. quinquedentata,A Liverwort,Medium ,
Plagiobryum zieri,A Moss,High ,
Sphagnum subfulvum,A Peatmoss,High ,
Acaulon muticum var. rufescens,A Moss,Medium ,
Alleniella besseri,A Neckera Moss,Medium ,
Alleniella complanata,Flat Feather Moss,Medium ,
Amphidium lapponicum,A Moss,Medium ,
Amphidium mougeotii,A Moss,Medium ,
Andreaea crassinervia,A Moss,Medium ,
Anomobryum concinnatum,A Moss,Medium ,
Anomobryum julaceum,A Moss,Medium ,
Aquilonium plicatulum,A Moss,Medium ,
Archidium alternifolium,Clay Moss,Medium ,
Arctoa fulvella,Arctoa Moss,Medium ,
Atrichum crispum,A Moss,Medium ,
Atrichum tenellum,A Moss,Medium ,
Aulacomnium androgynum,A Moss,Medium ,
Brachythecium acuminatum,A Moss,Medium ,
Brachythecium acutum,A Moss,Medium ,
Brachythecium albicans,A Moss,Medium ,
Brachythecium erythrorrhizon,A Moss,Medium ,
Brachythecium falcatum,Falcate Feather Moss,Medium ,
Brachythecium turgidum,A Moss,Medium ,
Bryoandersonia illecebra,A Moss,Medium ,
Bryum blindii,Blind's Bryum Moss,Medium ,
Bryum veronense,River Bryum Moss,Medium ,
Bucklandiella microcarpa,A Moss,Medium ,
Bucklandiella sudetica,Narrow-leaf Rock Moss,Medium ,
Bucklandiella venusta,A Moss,Medium ,
Buxbaumia aphylla,Elf Cap Moss,Medium ,
Buxbaumia minakatae,Hump-backed Elves,Medium ,
Calcidicranella varia,Variable Forklet Moss,Medium ,
Campylophyllopsis sommerfeltii,Sommerfelt's Fine Wet Moss,Medium ,
Campylophyllum montanum,A Moss,Medium ,
Campylostelium saxicola,Rock-loving Swan-neck Moss,Medium ,
Chionoloma tenuirostre,Narrow-fruit Crisp Moss,Medium ,
Cinclidium stygium,A Moss,Medium ,
Cirriphyllum piliferum,A Moss,Medium ,
Climacium kindbergii,A Tree Moss,Medium ,
Cnestrum alpestre,Mountain Dogtooth Moss,Medium ,
Codriophorus aduncoides,A Moss,Medium ,
Conardia compacta,A Moss,Medium ,
Ctenidium subrectifolium,A Moss,Medium ,
Cynodontium strumiferum,A Moss,Medium ,
Cynodontium tenellum,A Moss,Medium ,
Cyrtomnium hymenophylloides,A Moss,Medium ,
Dichelyma capillaceum,A Moss,Medium ,
Dichelyma falcatum,A Moss,Medium ,
Dichelyma pallescens,A Moss,Medium ,
Dichodontium pellucidum,A Moss,Medium ,
Dicranella cerviculata,A Moss,Medium ,
Dicranellopsis subulata,A Moss,Medium ,
Dicranodontium denudatum,A Moss,Medium ,
Dicranum acutifolium,Sharpleaf Broom Moss,Medium ,
Dicranum bonjeanii,A Moss,Medium ,
Dicranum condensatum,Condensed Broom Moss,Medium ,
Dicranum muehlenbeckii,A Moss,Medium ,
Dicranum ontariense,Ontario Dicranum Moss,Medium ,
Dicranum spurium,A Moss,Medium ,
Didymodon rigidulus var. rigidulus,A Moss,Medium ,
Dilutineuron fasciculare,A Moss,Medium ,
Distichium capillaceum,A Moss,Medium ,
Ditrichum rhynchostegium,A Moss,Medium ,
Ditrichum tortuloides,A Moss,Medium ,
Drepanium fastigiatum,Recurved Plait Moss,Medium ,
Drepanocladus longifolius,A Moss,Medium ,
Drepanocladus polycarpos,A Moss,Medium ,
Drepanocladus polygamus,A Moss,Medium ,
Drepanocladus trifarius,A Moss,Medium ,
Drummondia prorepens,A Moss,Medium ,
Elodium paludosum,A Moss,Medium ,
Encalypta rhaptocarpa,An Extinguisher Moss,Medium ,
Entodon brevisetus,A Moss,Medium ,
Ephemerum cohaerens,An Emerald Dewdrops Moss,Medium ,
Ephemerum crassinervium var. crassinervium,Emerald Dewdrops,Medium ,
Ephemerum spinulosum,An Emerald Dewdrops Moss,Medium ,
Fissidens exilis,Small Pocket Moss,Medium ,
Fissidens fontanus,A Moss,Medium ,
Fissidens subbasilaris,A Moss,Medium ,
Flexitrichum flexicaule,A Moss,Medium ,
Fontinalis hypnoides,A Moss,Medium ,
Fontinalis sphagnifolia,A Moss,Medium ,
Fontinalis sullivantii,A Moss,Medium ,
Forsstroemia trichomitria,A Moss,Medium ,
Geheebia fallax,False Beard Moss,Medium ,
Geheebia ferruginea,Rusty Beard Moss,Medium ,
Geheebia tophacea,Olive Beard Moss,Medium ,
Gemmabryum klinggraeffii,Raspberry Bryum Moss,Medium ,
Grimmia donniana,Donn's Grimmia Moss,Medium ,
Grimmia hartmanii,A Moss,Medium ,
Grimmia laevigata,Grimmia Dry Rock Moss,Medium ,
Grimmia longirostris,A Moss,Medium ,
Grimmia milleri,A Moss,Medium ,
Grimmia muehlenbeckii,A Moss,Medium ,
Grimmia olneyi,A Moss,Medium ,
Grimmia pilifera,A Moss,Medium ,
Grimmia torquata,A Moss,Medium ,
Grimmia trichophylla,A Moss,Medium ,
Grimmia unicolor,A Moss,Medium ,
Hageniella micans,A Moss,Medium ,
Hamatocaulis vernicosus,A Moss,Medium ,
Haplocladium microphyllum,A Moss,Medium ,
Haplocladium virginianum,A Moss,Medium ,
Haplohymenium triste,Rock Thread Moss,Medium ,
Helodium elodioides,Blandow's Helodium Moss,Medium ,
Herzogiella turfacea,A Moss,Medium ,
Heterocladium dimorphum,A Moss,Medium ,
Homalotheciella subcapillata,A Moss,Medium ,
Hydrogonium orientale,A Moss,Medium ,
Hygroamblystegium humile,A Moss,Medium ,
Hygrohypnum closteri,Closter's Brook-hypnum,Medium ,
Hygrohypnum luridum,Drab Brook Moss,Medium ,
Hylocomiastrum pyrenaicum,A Moss,Medium ,
Hymenoloma crispulum,A Moss,Medium ,
Hypnum cupressiforme var. julaceum,A Moss,Medium ,
Hypnum resupinatum,A Moss,Medium ,
Imbribryum mildeanum,A Moss,Medium ,
Isopterygiopsis muelleriana,A Moss,Medium ,
Isopterygiopsis pulchella,Neat Silk Moss,Medium ,
Kiaeria starkei,Starke's Fork Moss,Medium ,
Koponeniella graminicolor,A Moss,Medium ,
Lescuraea saxicola,A Moss,Medium ,
Leskea gracilescens,A Moss,Medium ,
Leskea obscura,A Moss,Medium ,
Leucodon brachypus,A Moss,Medium ,
Leucodon julaceus,A Moss,Medium ,
Lewinskya elegans,A Moss,Medium ,
Lindbergia brachyptera,Lindberg's Maple-moss,Medium ,
Loeskeobryum brevirostre,A Moss,Medium ,
Longiella distichacea,A Moss,Medium ,
Meesia triquetra,Triangular Swan Moss,Medium ,
Meesia uliginosa,A Moss,Medium ,
Microbryum davallianum var. davallianum,Davall's Dwarf Earth Moss,Medium ,
Micromitrium tenerum,Micromitrium Moss,Medium ,
Mnium thomsonii,A Moss,Medium ,
Myurella julacea,A Moss,Medium ,
Nyholmiella obtusifolia,Blunt Bristle-moss,Medium ,
Oncophorus virens,A Moss,Medium ,
Orthotrichum lescurii,Strangulate Orthotrichum Moss,Medium ,
Orthotrichum ohioense,A Moss,Medium ,
Orthotrichum pumilum,A Moss,Medium ,
Orthotrichum strangulatum,Limestone Bristle Moss,Medium ,
Oxyrrhynchium hians,A Moss,Medium ,
Paludella squarrosa,A Moss,Medium ,
Palustriella falcata,A Moss,Medium ,
Pelekium minutulum,A Moss,Medium ,
Pelekium pygmaeum,A Moss,Medium ,
Philonotis yezoana,A Moss,Medium ,
Physcomitrium collenchymatum,A Moss,Medium ,
Physcomitrium immersum,A Moss,Medium ,
Physcomitrium serratum,A Moss,Medium ,
Plagiomnium drummondii,A Moss,Medium ,
Plagiomnium rostratum,A Moss,Medium ,
Plagiothecium latebricola,Alder Silk Moss,Medium ,
Platydictya jungermannioides,A Moss,Medium ,
Platyhypnum duriusculum,A Moss,Medium ,
Platylomella lescurii,A Moss,Medium ,
Pleuridium subulatum,A Moss,Medium ,
Pogonatum dentatum,A Moss,Medium ,
Pohlia andalusica,Andalusian Pohlia Moss,Medium ,
Pohlia annotina,A Moss,Medium ,
Pohlia bulbifera,A Moss,Medium ,
Pohlia drummondii,A Moss,Medium ,
Pohlia elongata var. elongata,A Moss,Medium ,
Pohlia longicolla,A Moss,Medium ,
Pohlia melanodon,Black-toothed Nodding Moss,Medium ,
Pohlia proligera,A Moss,Medium ,
Polytrichastrum longisetum,A Moss,Medium ,
Polytrichum densifolium,A Moss,Medium ,
Pseudoamblystegium subtile,Bark Willow Moss,Medium ,
Pseudobryum cinclidioides,A Moss,Medium ,
Pseudocampylium radicale,A Moss,Medium ,
Pseudohygrohypnum fauriei,A Moss,Medium ,
Pseudohygrohypnum subeugyrium,A Moss,Medium ,
Pseudoleskeella tectorum,Rooftop Leske's Moss,Medium ,
Ptychomitrium incurvum,A Moss,Medium ,
Ptychostomum cernuum,Swamp Thread Moss,Medium ,
Ptychostomum compactum,Drooping Thread Moss,Medium ,
Ptychostomum pallens,A Moss,Medium ,
Ptychostomum pallescens,A Moss,Medium ,
Ptychostomum weigelii,A Moss,Medium ,
Pylaisiadelpha tenuirostris,Pylaisiadelpha Moss,Medium ,
Rhizomnium pseudopunctatum,Felt Round Moss,Medium ,
Ruficaulis rufescens,A Moss,Medium ,
Saelania glaucescens,Blue Dew,Medium ,
Schistidium boreale,Boreal Bloom Moss,Medium ,
Schistidium crassithecium,Bloom Moss,Medium ,
Schistidium dupretii,Dupret's Bloom Moss,Medium ,
Schistidium lancifolium,A Moss,Medium ,
Schistidium papillosum,A Moss,Medium ,
Schistidium viride,A Moss,Medium ,
Schwetschkeopsis fabronia,A Moss,Medium ,
Sciuro-hypnum starkei,Starke's Ragged Moss,Medium ,
Scorpidium cossonii,A Moss,Medium ,
Scorpidium revolvens,A Moss,Medium ,
Scorpidium scorpioides,A Moss,Medium ,
Seligeria calcarea,A Moss,Medium ,
Seligeria donniana,Donn's Rock-bristle,Medium ,
Seligeria pusilla,Small Limestone Moss,Medium ,
Seligeria tristichoides,A Moss,Medium ,
Sematophyllum adnatum,A Moss,Medium ,
Sematophyllum demissum,A Moss,Medium ,
Sematophyllum marylandicum,A Moss,Medium ,
Sphagnum affine,A Peatmoss,Medium ,
Sphagnum angermanicum,A Moss,Medium ,
Sphagnum austinii,A Moss,Medium ,
Sphagnum compactum,Low Peatmoss,Medium ,
Sphagnum contortum,A Moss,Medium ,
Sphagnum flexuosum,Flexuous Peatmoss,Medium ,
Sphagnum isoviitae,A Moss,Medium ,
Sphagnum lescurii,Yellow Peatmoss,Medium ,
Sphagnum lindbergii,Lindberg's Sphagnum,Medium ,
Sphagnum majus,Greater Peatmoss,Medium ,
Sphagnum platyphyllum,A Moss,Medium ,
Sphagnum pulchrum,Beautiful Peatmoss,Medium ,
Sphagnum recurvum,Recurved Peatmoss,Medium ,
Sphagnum riparium,A Moss,Medium ,
Sphagnum tenellum,Delicate Peatmoss,Medium ,
Splachnum pensylvanicum,Southern Dung Moss,Medium ,
Streblotrichum convolutum,Lesser Bird's-claw Beard Moss,Medium ,
Syntrichia papillosa,Marble Screw Moss,Medium ,
Syntrichia ruralis,A Moss,Medium ,
Tayloria serrata,A Moss,Medium ,
Tetraplodon angustatus,Tooth-leaved Nitrogen Moss,Medium ,
Tetraplodon mnioides,Entire-leaved Nitrogen Moss,Medium ,
Tetrodontium brownianum,Brown's Four-toothed Moss,Medium ,
Tetrodontium ovatum,A Moss,Medium ,
Thelia asprella,A Moss,Medium ,
Thelia hirtella,A Moss,Medium ,
Timmia comata,Timmia Moss,Medium ,
Timmia megapolitana ssp. megapolitana,A Moss,Medium ,
Tomentypnum falcifolium,A Moss,Medium ,
Tortella bambergeri,A moss,Medium ,
Tortella densa,A Moss,Medium ,
Tortella fragilis,A Moss,Medium ,
Tortella inclinata,A Moss,Medium ,
Tortula mucronifolia,A Moss,Medium ,
Tortula obtusifolia,A Moss,Medium ,
Tortula porteri,A Moss,Medium ,
Trematodon ambiguus,Long-necked Moss,Medium ,
Trematodon longicollis,A Moss,Medium ,
Trichostomum crispulum,A Moss,Medium ,
Ulota curvifolia,A Moss,Medium ,
Warnstorfia pseudostraminea,Spring Hook Moss,Medium ,
Weissia muhlenbergiana,A Moss,Medium ,
Zygodon conoideus,A Moss,Medium ,
Juniperus horizontalis,Creeping Juniper,High ,
Pinus banksiana,Jack Pine,Medium ,
Adiantum aleuticum,Aleutian Maidenhair-fern,High ,
Adiantum viridimontanum,Green Mountain Maidenhair-fern,High ,
Asplenium montanum,Mountain Spleenwort,High ,
Asplenium viride,Green Spleenwort,High ,
Botrychium ascendens,Upswept Moonwort,High ,
Botrychium campestre,Prairie Moonwort,High ,
Botrychium minganense,Mingan Moonwort,High ,
Botrychium neolunaria,Common Moonwort,High ,
Botrychium tenebrosum,Shade Moonwort,High ,
Cystopteris laurentiana,Laurentian Bladder Fern,High ,
Dryopteris filix-mas ssp. brittonii,Male Fern,High ,
Huperzia appressa,Mountain Fir Clubmoss,High ,
Huperzia selago,Fir Clubmoss,High ,
Lygodium palmatum,Climbing Fern,High ,
Ophioglossum pusillum,Northern Adder's-tongue,High ,
Sceptridium oneidense,Blunt-lobed Grapefern,High ,
Sceptridium rugulosum,Rugulose Grapefern,High ,
Woodsia alpina,Alpine Woodsia,High ,
Woodsia glabella,Smooth Woodsia,High ,
Botrychium simplex,Least Moonwort,Medium ,
Botrychium spathulatum,Spatulate Moonwort,Medium ,
Coryphopteris simulata,Massachusetts Fern,Medium ,
Diphasiastrum complanatum,Northern Ground-cedar,Medium ,
Diphasiastrum sabinifolium,Ground-fir,Medium ,
Dryopteris fragrans,Fragrant Fern,Medium ,
Equisetum palustre,Marsh Horsetail,Medium ,
Isoetes engelmannii,Engelmann's Quillwort,Medium ,
Isoetes lacustris,Lake Quillwort,Medium ,
Isoetes septentrionalis,River-bank Quillwort,Medium ,
Isoetes tuckermanii,Tuckerman's Quillwort,Medium ,
Isoetes viridimontana,Green Mountain Quillwort,Medium ,
Lycopodiella appressa,Slender Bog-clubmoss,Medium ,
Phegopteris hexagonoptera,Broad Beech-fern,Medium ,
Spinulum canadense,Stiff Clubmoss,Medium ,
Woodwardia virginica,Virginia Chain-fern,Medium ,
Agastache nepetoides,Yellow Giant Hyssop,High ,
Agastache scrophulariifolia,Purple Giant Hyssop,High ,
Agrimonia parviflora,Southern Agrimony,High ,
Amaranthus tuberculatus,Water Hemp,High ,
Amelanchier canadensis,Canada Shadbush,High ,
Ammophila breviligulata ssp. champlainensis,Champlain Beach Grass,High ,
Anemone multifida var. multifida,Early Thimbleweed,High ,
Anthoxanthum monticola ssp. monticola,Alpine Sweet-grass,High ,
Anticlea elegans ssp. glauca,White Camas,High ,
Aplectrum hyemale,Putty-root,High ,
Arethusa bulbosa,Arethusa,High ,
Artemisia campestris ssp. canadensis,Boreal Wormwood,High ,
Artemisia campestris ssp. caudata,Beach Wormwood,High ,
Astragalus alpinus var. brunetianus,Alpine Milk-vetch,High ,
Astragalus canadensis var. canadensis,Canada Milk-vetch,High ,
Astragalus robbinsii var. jesupii,Jesup's Milk-vetch,High ,
Astragalus robbinsii var. minor,Blake's Milk-vetch,High ,
Astragalus robbinsii var. robbinsii,Robbins' Milk-vetch,High ,
Baptisia tinctoria,Yellow Wild-indigo,High ,
Betula minor,Dwarf Birch,High ,
Blephilia ciliata,Downy Wood-mint,High ,
Blephilia hirsuta var. glabrata,Smooth Wood-mint,High ,
Blephilia hirsuta var. hirsuta,Hairy Wood-mint,High ,
Boechera grahamii,Graham's Rockcress,High ,
Borodinia laevigata,Smooth Rockcress,High ,
Borodinia missouriensis,Green Rock-cress,High ,
Braya humilis ssp. humilis,Northern Rock-cress,High ,
Calamagrostis canadensis var. langsdorfii,Langsdorf's Bluejoint,High ,
Calamagrostis canadensis var. macouniana,Short-flower Bluejoint,High ,
Calamagrostis stricta ssp. inexpansa,Bentgrass,High ,
Callitriche hermaphroditica,Northern Water-starwort,High ,
Calypso bulbosa var. americana,Fairy Slipper,High ,
Calystegia spithamaea ssp. spithamaea,Low Bindweed,High ,
Cardamine dentata,Cuckoo Flower,High ,
Carex alopecoidea,Foxtail Sedge,High ,
Carex atherodes,Awned Sedge,High ,
Carex atratiformis,Blackish Sedge,High ,
Carex bicknellii,Bicknell's Sedge,High ,
Carex bigelowii ssp. bigelowii,Bigelow's Sedge,High ,
Carex bushii,Bush's Sedge,High ,
Carex capillaris ssp. capillaris,Capillary Sedge,High ,
Carex chordorrhiza,Creeping Sedge,High ,
Carex davisii,Davis' Sedge,High ,
Carex garberi,Garber's Sedge,High ,
Carex glaucodea,Flaccid Sedge,High ,
Carex gracilescens,Slender Sedge,High ,
Carex livida,Pale Sedge,High ,
Carex molesta,Troublesome Sedge,High ,
Carex muehlenbergii var. enervis,Nerveless Muehlenberg Sedge,High ,
Carex oligocarpa,Few-fruited Sedge,High ,
Carex richardsonii,Richardson's Sedge,High ,
Carex rostrata,Beaked Sedge,High ,
Carex schweinitzii,Schweinitz's Sedge,High ,
Carex scirpoidea ssp. scirpoidea,Scirpus-like Sedge,High ,
Carex sterilis,Dioecious Sedge,High ,
Carex tenuiflora,Thin-flowered Sedge,High ,
Carex vaginata,Sheathed Sedge,High ,
Carex willdenowii,Willdenow's Sedge,High ,
Castilleja septentrionalis,Pale Painted-cup,High ,
Ceanothus herbaceus,Prairie Redroot,High ,
Chenopodium berlandieri var. bushianum,Bush's Goosefoot,High ,
Chenopodium foggii,Fogg's Goosefoot,High ,
Claytonia virginica,Virginia Spring Beauty,High ,
Collinsia parviflora,Small-flowered Collinsia,High ,
Corydalis aurea,Golden Corydalis,High ,
Crataegus boyntonii,Stinking Hawthorn,High ,
Crataegus dodgei,Dodge's Hawthorn,High ,
Crataegus ideae,Concord Hawthorn,High ,
Crataegus jesupii,Jesup's Hawthorn,High ,
Crataegus kennedyi,Kennedy's Hawthorn,High ,
Crataegus oakesiana,Oakes' Hawthorn,High ,
Crataegus populnea,Poplar Hawthorn,High ,
Crataegus scabrida var. asperifolia,Rough-leaf Hawthorn,High ,
Crataegus scabrida var. cyclophylla,Round-leaf Hawthorn,High ,
Crataegus succulenta var. pisifera,Pea Hawthorn,High ,
Crataegus succulenta var. succulenta,Fleshy Hawthorn,High ,
Cubelium concolor,Green Violet,High ,
Cuscuta saururi,Broad-flower Dodder,High ,
Cynoglossum virginianum var. boreale,Northern Wild Comfrey,High ,
Cyperus engelmannii,Engelmann's Flatsedge,High ,
Cyperus houghtonii,Houghton's Flatsedge,High ,
Cyperus odoratus,Rusty Flatsedge,High ,
Cypripedium arietinum,Ram's Head Lady's-slipper,High ,
Cypripedium parviflorum var. makasin,Least Yellow Lady's-slipper,High ,
Descurainia pinnata var. brachycarpa,Tansy Mustard,High ,
Desmodium cuspidatum,Large-bracted Tick-trefoil,High ,
Diapensia lapponica ssp. lapponica,Diapensia,High ,
Dichanthelium languidum,Weak Panic-grass,High ,
Dichanthelium subvillosum,Soft-hair Panic-grass,High ,
Draba arabisans,Rock Draba,High ,
Draba cana,Hoary Draba,High ,
Draba glabella,Smooth Draba,High ,
Dracocephalum parviflorum,American Dragonhead,High ,
Elatine americana,American Waterwort,High ,
Eleocharis aestuum,Tidal Spikerush,High ,
Eleocharis compressa var. compressa,Flat-stem Spikerush,High ,
Eleocharis diandra,Wright's Spikerush,High ,
Eleocharis nitida,Slender Spikerush,High ,
Elymus macgregorii var. hirsutispiculus,MacGregor's Hairy Wild Rye,High ,
Elymus macgregorii var. macgregorii,MacGregor's Wild Rye,High ,
Elymus villosus var. arkansanus,Southern Wild-rye,High ,
Empetrum nigrum,Black Crowberry,High ,
