scientificName,vernacularName,VT_SGCN,Regional_SGCN
Coregonus clupeaformis,Lake Whitefish,Medium ,Regional SGCN-Watchlist
Salmo salar,Atlantic Salmon,Medium ,Regional SGCN
Salvelinus fontinalis,Brook Trout,Medium ,Regional SGCN-Watchlist
Salvelinus namaycush,Lake Trout,Medium ,Regional SGCN-Watchlist
Amanita ristichii,Amanita ristichii,Watchlist,
Amanita sp. 5,Amanita praecox,Watchlist,
Boletinellus merulioides,Boletinellus merulioides,Watchlist,
Caloboletus peckii,Caloboletus peckii,Watchlist,
Clavulinopsis appalachiensis,Clavulinopsis appalachiensis,Watchlist,
Cortinarius azureus,Cortinarius azureus,Watchlist,
Cortinarius ophiopus,Cortinarius ophiopus,Watchlist,
Craterellus cinereus,Craterellus cinereus,Watchlist,
Dendrocollybia racemosa,Dendrocollybia racemosa,Watchlist,
Entoloma flavoviride,Entoloma flavoviride,Watchlist,
Ganoderma tsugae,Ganoderma tsugae,Watchlist,
Helvella palustris,Helvella palustris,Watchlist,
Hodophilus peckianus,Hodophilus peckianus,Watchlist,
Hygrophorus discoxanthus,Hygrophorus discoxanthus,Watchlist,
Hypocreopsis rhododendri,Hypocreopsis rhododendri,Watchlist,
Lactarius cinereus var. fagetorum,Lactarius cinereus var. fagetorum,Watchlist,
Lactarius gerardii var. fagicola,Lactarius geradii var. fagicola,Watchlist,
Lactarius subpurpureus,Lactarius subpurpureus,Watchlist,
Lactarius trivialis,Lactarius trivialis,Watchlist,
Perenniporia fraxinophila,Perenniporia fraxinophila,Watchlist,
Psathyrella epimyces,Psathyrella epimyces,Watchlist,
Pseudofistulina radicata,Pseudofistulina radicata,Watchlist,
Rhizopogon kretzerae,Rhizopogon kretzerae,Watchlist,
Squamanita imbachii,Squamanita imbachii,Watchlist,
Squamanita sumstinei,Squamanita sumstinei,Watchlist,
Squamanita umbonata,Squamanita umbonata,Watchlist,
Stropharia aeruginosa,Stropharia aeruginosa,Watchlist,
Suillus brevipes,Suillus brevipes,Watchlist,
Suillus salmonicolor,Suillus salmonicolor,Watchlist,
Suillus tomentosus,Suillus tomentosus,Watchlist,
Tricholoma grave,Tricholoma grave,Watchlist,
Tricholoma magnivelare,Tricholoma magnivelare,Watchlist,
Underwoodia columnaris,Underwoodia columnaris,Watchlist,
Volvariella surrecta,Volvariella surrecta,Watchlist,
Acalitus ferrugineum,Acalitus ferrugineum,Watchlist,
Aceria fraxini,Ash Leaf Gall Mite,Watchlist,
Aceria fraxiniflora,Ash flower gall mite-2,Watchlist,
Diporeia hoyi,Diporeia hoyi,High ,
Stygobromus borealis,Taconic Cave Amphipod,High ,
Agapostemon splendens,Brown-winged Striped Sweat Bee,High ,
Andrena cornelli,Azalea Miner,High ,
Andrena mariae,Maria's Miner,High ,
Andrena nigrae,Orange-footed Mini-Miner,High ,
Andrena parnassiae,Parnassia Miner,High ,Regional SGCN-Proposed
Andrena persimulata,Northern Dogwood Miner,High ,
Andrena ziziaeformis,Ephemeral Miner,High ,
Bombus affinis,Rusty-patched Bumble Bee,High ,Regional SGCN
Bombus ashtoni,Ashton Cuckoo Bumble Bee,High ,Regional SGCN
Bombus insularis,Indiscriminate Cuckoo Bumble Bee,High ,
Bombus pensylvanicus,American Bumble Bee,High ,Regional SGCN-Watchlist
Bombus terricola,Yellow-banded Bumble Bee,High ,Regional SGCN
Colletes banksi,Banks' Cellophane Bee,High ,
Colletes impunctatus,Impunctate Cellophane Bee,High ,
Colletes solidaginis,Goldenrod Cellophane Bee,High ,
Colletes willistoni,Williston's Cellophane Bee,High ,
Dianthidium simile,Northeastern Pebble Bee,High ,
Epeolus canadensis,Canada Cellophane-Cuckoo,High ,Regional SGCN-Proposed Watchlist
Epeolus minimus,Least Cellophane-Cuckoo,High ,
Hylaeus basalis,Cinquefoil Masked Bee,High ,
Hylaeus nelumbonis,Nelumbo Masked Bee,High ,
Hylaeus saniculae,Sanicle Masked Bee,High ,
Lasioglossum athabascense,Athabascan Sweat Bee,High ,
Lasioglossum nelumbonis,Lotus Sweat Bee,High ,
Lasioglossum tenax,Tenacious Metallic-Sweat bee,High ,
Macropis patellata,Patellate Yellow Loosestrife Bee,High ,Regional SGCN
Megachile rugifrons,Rugose-fronted Resin Bee,High ,
Melissodes apicatus,Pickerelweed Longhorn,High ,
Nomada electa,Elect Nomad,High ,Regional SGCN-Proposed Watchlist
Osmia lignaria,Blue Orchard Bee,High ,
Osmia proxima,Proximal Mason,High ,
Osmia texana,Texas Mason,High ,
Perdita maculigera,Sandbar Willow Fairy Bee,High ,
Stelis permaculata,Sixteen-spotted Dark Bee,High ,
Temnothorax pilagens,Pillage Ant,High ,
Triepeolus simplex,Simple Longhorn-Cuckoo,High ,
Andrena braccata,Beach Miner,Medium ,
Andrena canadensis,Canada Miner,Medium ,
Bombus citrinus,Lemon Cuckoo Bumble Bee,Medium ,Regional SGCN-Watchlist
Bombus fervidus,Yellow Bumble Bee,Medium ,Regional SGCN-Watchlist
Bombus rufocinctus,Red-belted Bumble Bee,Medium ,
Coelioxys hunteri,Hunter's Sharptail,Medium ,
Macropis nuda,Dark-legged Yellow Loosestrife Bee,Medium ,Regional SGCN-Watchlist
Melitta melittoides,Lyonia Blunt-horn,Medium ,
Myrmica lobifrons,Myrmica lobifrons,Medium ,
Andrena algida,Wintry Miner,Watchlist,
Andrena personata,Echo Mini-Miner,Watchlist,
Andrena rehni,Rehn's Miner,Watchlist,
Andrena vernalis,Vernal Miner,Watchlist,
Colletes consors,Kindred Cellophane Bee,Watchlist,Regional SGCN-Proposed Watchlist
Colletes kincaidii,Kincaid's Cellophane Bee,Watchlist,
Epeoloides pilosula,Pilose Yellow Loosestrife-Cuckoo,Watchlist,
Hoplitis simplex,Robertson's Small-Mason,Watchlist,
Lasioglossum heterognathus,Angle-jawed Metallic-Sweat Bee,Watchlist,
Lasioglossum izawsum,Izawsum Metallic-Sweat Bee,Watchlist,
Lasioglossum novascotiae,Nova Scotia Metallic-Sweat bee,Watchlist,
Megachile addenda,Cranberry Leafcutter,Watchlist,
Nomada sp. 1,Nomada mr-1,Watchlist,
Sphecodes fattigi,Fattig's Blood Bee,Watchlist,
Stelis foederalis,Federal Dark Bee,Watchlist,
Stelis labiata,Labiate Dark Bee,Watchlist,
Svastra obliqua,Oblique Longhorn,Watchlist,
Tethida barda,Black-headed Ash Sawfly,Watchlist,
Agonum crenistriatum,Agonum crenistriatum,High ,
Agonum darlingtoni,Agonum darlingtoni,High ,
Agonum picicornoides,Agonum picicornoides,High ,
Amara erratica,Amara erratica,High ,
Apristus latens,Apristus latens,High ,
Bembidion grapii,Bembidion grapii,High ,
Bembidion mutatum,Bembidion mutatum,High ,
Bembidion quadratulum,Bembidion quadratulum,High ,
Bembidion rufotinctum,Bembidion rufotinctum,High ,
Blethisa julii,Blethisa julii,High ,
Blethisa quadricollis,Blethisa quadricollis,High ,
Cicindela ancocisconensis,Boulder-beach Tiger Beetle,High ,Regional SGCN
Cicindela hirticollis,Hairy-necked Tiger Beetle,High ,Regional SGCN-Watchlist
Cicindela longilabris,Boreal Long-lipped Tiger Beetle,High ,
Cicindela marginipennis,Cobblestone Tiger Beetle,High ,Regional SGCN
Cicindela patruela,Northern Barrens Tiger Beetle,High ,Regional SGCN
Cicindela rufiventris,Red-bellied Tiger Beetle,High ,
Dicaelus dilatatus,Dicaelus dilatatus,High ,
Dicaelus teter,Dicaelus teter,High ,
Dicheirotrichus cognatus,Dicheirotrichus cognatus,High ,
Diplocheila striatopunctata,Diplocheila striatopunctata,High ,
Dyschirius politus,Dyschirius politus,High ,
Elaphrus fuliginosus,Elaphrus fuliginosus,High ,
Ellipsoptera puritana,Puritan Tiger Beetle,High ,Regional SGCN
Geopinus incrassatus,Geopinus incrassatus,High ,
Harpalus fulvilabris,Harpalus fulvilabris,High ,
Lophoglossus scrutator,Lophoglossus scrutator,High ,
Nebria suturalis,Nebria suturalis,High ,
