Scientific Name,Kingdom,Taxonomic Group,Family,Genus,Species,Infraspecific Taxon,vernacularName,State Status,Federal Status,Date Listed,Previously Listed As,Notes
Calidris canutus,Animalia,Birds,Scolopacidae,Calidris,canutus,,Red Knot,T*,T,,,State-threatened by default per federal listing (T*); not in 2022 rule
Chlidonias niger,Animalia,Birds,Laridae,Chlidonias,niger,,Black Tern,E,,2005-04-23,,Listed as Threatened on 12-07- 1994.
Sterna hirundo,Animalia,Birds,Laridae,Sterna,hirundo,,Common Tern,E,,1988-07-30,,Listed as Threatened on 04-13- 1987.
Lanius ludovicianus,Animalia,Birds,Laniidae,Lanius,ludovicianus,,Loggerhead Shrike,E,,1987-04-13,,
Cistothorus stellaris,Animalia,Birds,Troglodytidae,Cistothorus,stellaris,,Sedge Wren,E,,1999-03-18,Cistothorus platensis,Listed as Threatened on 04-13- 1987.
Euphagus carolinus,Animalia,Birds,Icteridae,Euphagus,carolinus,,Rusty Blackbird,E,,2015-03-28,,
Sturnella magna,Animalia,Birds,Icteridae,Sturnella,magna,,Eastern Meadowlark,T,,2022-02-10,,
Ammodramus savannarum,Animalia,Birds,Passerellidae,Ammodramus,savannarum,,Grasshopper Sparrow,T,,1999-03-18,,
Centronyx henslowii,Animalia,Birds,Passerellidae,Centronyx,henslowii,,Henslow's Sparrow,E,,1987-04-13,Ammodramus henslowii,
Stygobromus borealis,Animalia,Amphipods,Crangonyctidae,Stygobromus,borealis,,Taconic Cave Amphipod,E,,1994-12-07,,
Cicindela hirticollis,Animalia,Beetles,Carabidae,Cicindela,hirticollis,,Hairy-necked Tiger Beetle,T,,1994-12-07,,
Cicindela marginipennis,Animalia,Beetles,Carabidae,Cicindela,marginipennis,,Cobblestone Tiger Beetle,T,,1987-04-13,,
Ellipsoptera puritana,Animalia,Beetles,Carabidae,Ellipsoptera,puritana,,Puritan Tiger Beetle,T,T,1994-12-07,Cicindela puritana,
Bombus affinis,Animalia,Bees,Apidae,Bombus,affinis,,Rusty-patched Bumble Bee,E,E,2016-03-28,,
Bombus ashtoni,Animalia,Bees,Apidae,Bombus,ashtoni,,Ashton Cuckoo Bumble Bee,E,,2015-03-28,,
Bombus pensylvanicus,Animalia,Bees,Apidae,Bombus,pensylvanicus,,American Bumble Bee,E,UR,2022-02-10,,
Bombus terricola,Animalia,Bees,Apidae,Bombus,terricola,,Yellow-banded Bumble Bee,T,,2016-03-28,,
Margaritifera margaritifera,Animalia,Freshwater Mussels,Margaritiferidae,Margaritifera,margaritifera,,Eastern Pearlshell,T,,1994-12-07,,
Alasmidonta heterodon,Animalia,Freshwater Mussels,Unionidae,Alasmidonta,heterodon,,Dwarf Wedgemussel,E,E,1991-11-09,,Listed as Threatened on 04-13- 1987.
Alasmidonta varicosa,Animalia,Freshwater Mussels,Unionidae,Alasmidonta,varicosa,,Brook Floater,E,,2022-02-10,,Listed as Threatened on 12-07- 1994.
Anodontoides ferussacianus,Animalia,Freshwater Mussels,Unionidae,Anodontoides,ferussacianus,,Cylindrical Papershell,E,,1999-03-18,,
Lampsilis ovata,Animalia,Freshwater Mussels,Unionidae,Lampsilis,ovata,,Pocketbook,E,,1999-03-18,,
Lasmigona costata,Animalia,Freshwater Mussels,Unionidae,Lasmigona,costata,,Flutedshell,E,,1999-03-18,,
Leptodea fragilis,Animalia,Freshwater Mussels,Unionidae,Leptodea,fragilis,,Fragile Papershell,E,,1999-03-18,,
Ligumia recta,Animalia,Freshwater Mussels,Unionidae,Ligumia,recta,,Black Sandshell,E,,1999-03-18,,Listed as Threatened on 12-07- 1994.
Potamilus alatus,Animalia,Freshwater Mussels,Unionidae,Potamilus,alatus,,Pink Heelsplitter,E,,1999-03-18,,
Pyganodon grandis,Animalia,Freshwater Mussels,Unionidae,Pyganodon,grandis,,Giant Floater,T,,1999-03-18,,
